Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
;2006;84866;0;0;0;0;726394;51435;0;0;24825;0;0;0;0;0;0;0;8250;0;0;137089;0;54349;0;0;0;0;32468;13183;0;5220;600;5800;4000;0;0;0;0;0;11645;0;0;0;67500;53604;0;0;0;0;0;0;0;140200;0;2310;0;0;29943;0;0;0;43300;0;500;32443;0;2100;38469;0;0;36652;0;0;0;0;0;0;377879;167513;9000;0
;2007;128432;0;0;0;0;648664;100810;0;0;9947;0;0;0;0;0;0;0;2950;0;0;67718;0;64826;0;0;0;2700;72569;13817;0;2000;0;10550;3100;0;0;0;0;0;108000;0;0;0;34197;8183;8400;24500;0;0;0;0;0;7272;0;8300;0;0;11800;0;0;0;35580;0;9590;29993;0;1000;32648;0;0;60937;0;0;0;0;0;0;689030;211249;10500;0
;2008;135028;0;40300;0;0;665619;86463;0;0;3391;0;0;0;13500;0;0;0;1620;11200;8000;133488;0;45975;0;0;0;2900;42150;101299;0;10540;0;16250;6000;0;0;0;0;0;3000;0;0;0;83272;39095;6350;28000;0;0;0;54480;400;12000;0;1600;0;0;26336;3000;0;1450;123310;0;20000;22715;0;2000;30918;0;30180;28035;3600;0;0;0;0;8050;1253591;248459;26650;0
;2009;168661;0;25200;0;0;605074;80433;0;0;0;0;0;0;20000;0;0;0;11400;7200;0;147981;0;71581;0;0;10000;4000;46571;131619;0;5000;0;15000;5000;0;0;6000;0;0;2125;0;7000;0;65467;65983;6350;33200;0;0;0;47000;0;29000;0;0;0;0;27150;3000;0;4800;92100;0;28000;40164;0;0;33586;0;7000;62181;0;0;0;0;0;35400;2029489;312414;28600;0
;2010;155559;4580;7800;6981;0;773848;67243;2200;0;28001;0;0;4800;18540;0;0;4010;6898;7410;0;141853;26390;47554;17440;0;10550;1000;38329;145237;21892;20134;0;2000;27274;0;1400;2832;4130;0;2630;0;14678;0;120091;70544;5362;21010;7944;15440;3710;56669;3550;5600;42700;0;11045;6100;78680;2980;0;37404;96066;3300;34100;36610;0;0;65809;869;20970;57895;11800;0;6910;0;0;4256;2358146;424273;25200;0
;2011;153416;4294;10132;3455;0;646300;131252;1860;150;53851;250;0;7095;30900;0;0;14400;28500;7778;3450;388836;25529;52501;19100;0;31382;18600;76691;177205;43694;16184;1920;0;35842;2154;2160;18640;8820;0;4900;5690;70588;250;191358;87787;19859;9150;1526;8700;119173;36658;9395;104340;23078;0;5200;10000;27523;7150;25432;19153;94291;1500;47110;18325;0;0;52482;9398;7800;6448;13720;5350;56450;0;3360;57080;1736783;441880;30360;0
;2012;239093;3741;6710;13168;3930;605741;195364;3120;900;77916;39080;35640;5345;48160;674;0;6565;26872;2354;3600;191437;69904;88814;13915;0;32408;3652;39749;128166;36981;16592;3150;1000;33909;4800;7438;20820;6090;0;1800;9725;45398;8620;123215;129140;38084;22500;2460;13810;160916;48024;6600;70979;39650;656;7058;16190;44262;1930;15400;18350;133001;1340;17740;9924;33660;7250;80167;4000;6251;11858;13073;5690;41639;13225;2862;36924;1881176;443011;32760;3950
;2013;364797;3090;7075;2200;10100;944581;185406;2160;850;31577;0;27402;1420;36505;0;0;3700;9140;4280;1850;150832;8143;68197;10990;5900;17510;0;54912;146133;10512;19890;0;850;19896;10475;4000;4800;7150;310;2250;2959;54706;3300;112291;283157;31052;62500;4132;2780;63835;49660;3130;105630;33870;3820;750;900;10752;0;8200;5923;83699;1050;8185;47887;857;1700;76201;987;2540;36861;3545;3750;12500;19422;869;8320;2510265;373693;27460;2800
;2014;123465;1506;5370;2481;2975;902088;195346;6710;6479;65920;2070;25435;9080;35240;3150;0;21120;10279;12601;7100;324634;123757;40450;12310;39000;33105;3210;46906;152714;82130;15801;1965;792;28555;9830;1600;23530;6865;1750;4636;2740;35980;11602;120621;219716;23580;50535;4193;4171;68554;53638;1860;75900;33323;7269;6104;8765;18400;4273;12809;29445;46730;7212;8200;20970;13101;1850;74458;4525;11988;36688;2447;4015;40625;11057;3540;24064;2112046;407346;57683;2150
;2015;157573;200;12430;5698;2260;749697;179101;1880;3441;57101;4930;23175;9109;10819;1206;0;8890;8460;11765;2150;351285;62520;72900;7990;15895;23639;800;37320;114591;43889;19705;883;14300;41590;6400;1010;42623;11244;660;5596;11645;68757;6878;131612;179347;17524;31120;3320;8341;80487;53882;2917;58668;68449;695;4254;4000;106042;3660;13318;85032;60769;1426;6006;20339;39051;3700;51993;2563;12066;55830;7090;6878;37070;6384;7160;31123;2134685;273226;30379;1034
;2016;166940;6526;14950;16299;3415;880154;169706;0;11003;75873;9224;23435;6662;64300;1342;0;10596;5467;10010;11600;174461;121024;29963;11800;16648;25493;0;29974;106953;52376;13977;1030;2820;47459;2810;3130;20132;23154;2182;5210;8744;131456;5040;155994;98868;12463;34560;9716;5734;64198;23173;2000;63935;38016;2412;4318;6214;31803;6780;23600;42472;65832;465;4174;57293;21252;4700;156744;2220;12505;380;2650;5471;48327;37822;5492;24804;2257499;340658;18880;0
