Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Türkiye;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
;2016;9628;429;1828;475;808;30462;9480;0;666;3785;567;2838;378;972;0;500;342;220;1386;666;7360;3295;5724;607;1951;967;420;2822;3236;4465;735;0;0;3148;1301;145;2765;820;813;389;627;4339;256;7869;7374;1866;1045;742;579;2365;3341;1131;3980;4017;404;1169;449;1181;897;939;4184;3300;307;0;927;2921;1975;3281;0;307456;1976;1888;1896;784;2099;1708;471;1081;105793;19239;2663;0
;2017;8413;278;1933;465;819;30224;12400;0;666;3823;492;3599;378;972;0;240;342;220;1967;396;9312;3295;6377;1301;1418;828;420;3287;3631;5102;744;142;80;3157;653;145;2382;1165;813;387;663;4891;256;8883;8045;1405;975;740;568;3042;2807;1131;4597;4007;403;1693;439;1140;717;1069;4819;3300;307;105;2066;3617;1994;3269;0;328845;1976;1887;1878;1250;3049;967;461;2137;113842;18851;3333;0
;2018;8179;914;1933;813;856;31226;12401;0;750;3726;587;5690;378;956;80;240;590;220;1966;402;10807;3632;6769;1303;2814;829;420;3702;3938;4924;706;142;80;3301;1462;145;2124;1128;855;387;996;4785;256;9390;6397;1418;1728;742;568;3033;4254;1538;5075;3934;403;1693;439;1456;627;1425;5027;3300;307;243;1898;3601;1991;3320;100;342813;1976;1880;1371;1303;3034;965;456;2137;114424;20845;3103;0
Salon Sayýsý;2000;36;2;1;1;1;59;18;0;2;6;0;12;1;0;0;2;0;0;6;2;42;12;7;0;3;3;0;3;10;7;5;0;1;12;3;1;4;1;1;1;1;4;0;19;6;4;10;1;0;7;7;1;7;7;0;1;2;3;2;3;1;5;2;1;3;8;2;1;0;606;1;1;2;0;7;6;0;3;171;41;1;0
;2001;35;0;1;1;1;69;20;0;2;6;0;11;0;1;0;2;0;0;5;2;24;3;7;3;2;3;0;2;10;6;6;0;1;6;1;0;2;1;2;0;1;4;0;5;3;3;6;1;1;7;8;1;10;7;1;1;2;3;2;3;1;8;1;0;3;6;2;2;0;580;1;1;2;1;5;13;0;0;192;35;3;0
;2002;18;2;1;3;1;77;18;0;1;2;1;8;1;1;0;0;0;0;2;2;5;3;6;2;6;3;0;2;4;5;2;0;1;6;2;0;2;1;1;1;1;4;0;14;4;1;4;1;0;5;0;2;6;2;1;1;2;3;2;3;8;5;1;0;3;4;2;6;0;532;2;0;4;1;1;2;0;1;204;39;3;0
;2003;22;0;3;4;0;124;21;0;1;5;0;11;1;1;1;1;0;0;5;3;31;5;14;2;2;2;0;2;13;16;5;0;1;6;3;0;4;1;1;1;1;3;0;5;9;4;8;1;0;5;2;5;20;14;0;1;5;4;2;6;1;18;0;1;10;13;5;7;0;826;0;0;4;1;5;2;0;3;285;61;3;0
;2004;25;0;1;3;3;106;43;0;2;5;0;13;1;1;1;1;0;0;5;5;24;9;15;1;6;6;1;3;10;14;3;0;0;10;4;0;8;1;1;1;1;2;0;11;21;3;7;1;0;5;9;5;22;9;0;2;5;3;2;3;1;21;0;1;2;12;7;7;0;822;4;4;3;1;5;13;1;10;199;85;3;0
;2005;25;1;5;6;5;121;51;0;2;4;0;13;2;1;0;2;2;0;5;6;38;8;17;3;7;6;2;6;15;10;3;0;0;10;2;0;8;2;2;1;1;8;0;24;22;3;7;2;0;7;10;5;19;19;0;2;5;6;2;5;16;20;0;1;4;14;6;12;0;987;4;4;3;1;4;8;1;12;252;82;5;0
;2006;25;2;5;5;5;134;46;0;2;4;0;13;2;1;0;2;2;2;5;6;41;11;17;3;6;6;2;5;15;18;3;0;1;8;2;0;8;4;2;1;7;9;0;23;15;3;10;1;3;7;9;1;18;19;0;2;6;6;2;6;17;20;0;1;4;16;7;12;1;1045;6;4;3;3;5;8;1;12;283;76;5;0
